frame,time,rtl,ltr,fprtl,fpltr,fnrtl,fnltr,totalrtl,totalltr
100,00:00:05,1,,,,,,1,0
120,00:00:06,,,,,1,,1,0
280,00:00:14,1,,,,,,2,0
300,00:00:15,1,,,,,,3,0
400,00:00:20,,1,,,,,3,1
420,00:00:21,,1,,,,,3,2
740,00:00:37,1,,,,,,4,2
780,00:00:39,,1,,,,,4,3
800,00:00:40,1,,,,,,5,3
800,00:00:40,1,,,,,,6,3
820,00:00:41,1,,,,,,7,3
1580,00:01:19,1,,,,,,8,3
1620,00:01:21,1,,,,,,9,3
1620,00:01:21,1,,,,,,10,3
1620,00:01:21,,,,,1,,10,3
1620,00:01:21,1,,,,,,11,3
1620,00:01:21,,,,1,,,11,4
1660,00:01:23,1,,,,,,12,4
1680,00:01:24,1,,,,,,13,4
1700,00:01:25,1,,,,,,14,4
1840,00:01:32,,1,,,,,14,5
1880,00:01:34,1,,,,,,15,5
1880,00:01:34,,,1,,,,16,5
1920,00:01:36,,1,,,,,16,6
1980,00:01:39,,1,,,,,16,7
1980,00:01:39,,1,,,,,16,8
2000,00:01:40,1,,,,,,17,8
2020,00:01:41,,1,,,,,17,9
2060,00:01:43,1,,,,,,18,9
2100,00:01:45,,1,,,,,18,10
2340,00:01:57,1,,,,,,19,10
2980,00:02:29,1,,,,,,20,10
3360,00:02:48,,1,,,,,20,11
3380,00:02:49,,,,,,1,20,11
3400,00:02:50,,1,,,,,20,12
3400,00:02:50,,1,,,,,20,13
3420,00:02:51,,,,,,1,20,13
3440,00:02:52,,,,,1,,20,13
3480,00:02:54,,1,,,,,20,14
3540,00:02:57,1,,,,,,21,14
3540,00:02:57,,,,,,1,21,14
3600,00:03:00,1,,,,,,22,14
3620,00:03:01,1,,,,,,23,14
3760,00:03:08,,1,,,,,23,15
4140,00:03:27,,1,,,,,23,16
4300,00:03:35,1,,,,,,24,16
4320,00:03:36,1,,,,,,25,16
4780,00:03:59,,1,,,,,25,17
4780,00:03:59,1,,,,,,26,17
4800,00:04:00,,1,,,,,26,18
4800,00:04:00,,,,,,1,26,18
5020,00:04:11,1,,,,,,27,18
5120,00:04:16,1,,,,,,28,18
5120,00:04:16,,,1,,,,29,18
5140,00:04:17,1,,,,,,30,18
5200,00:04:20,,1,,,,,30,19
5200,00:04:20,,,,,,1,30,19
5860,00:04:53,1,,,,,,31,19
5880,00:04:54,1,,,,,,32,19
5880,00:04:54,,,1,,,,33,19
5880,00:04:54,,,,,1,,33,19
5940,00:04:57,1,,,,,,34,19
6000,00:05:00,1,,,,,,35,19
6000,00:05:00,,,1,,,,36,19
6160,00:05:08,,1,,,,,36,20
6420,00:05:21,1,,,,,,37,20
6500,00:05:25,,1,,,,,37,21
6500,00:05:25,,,,1,,,37,22
6560,00:05:28,,,,,1,,37,22
6700,00:05:35,1,,,,,,38,22
6720,00:05:36,1,,,,,,39,22
6720,00:05:36,1,,,,,,40,22
6740,00:05:37,1,,,,,,41,22
6760,00:05:38,,,,1,,,41,23
6760,00:05:38,1,,,,,,42,23
6760,00:05:38,1,,,,,,43,23
7280,00:06:04,1,,,,,,44,23
7300,00:06:05,1,,,,,,45,23
7580,00:06:19,,,,,,1,45,23
7600,00:06:20,,1,,,,,45,24
7700,00:06:25,,1,,,,,45,25
7700,00:06:25,,,,1,,,45,26
7740,00:06:27,1,,,,,,46,26
7840,00:06:32,1,,,,,,47,26
7840,00:06:32,,1,,,,,47,27
7900,00:06:35,,1,,,,,47,28
7900,00:06:35,,,,1,,,47,29
7920,00:06:36,1,,,,,,48,29
8120,00:06:46,1,,,,,,49,29
8140,00:06:47,,1,,,,,49,30
8140,00:06:47,,,,1,,,49,31
8620,00:07:11,1,,,,,,50,31
8640,00:07:12,1,,,,,,51,31
8640,00:07:12,,,1,,,,52,31
8680,00:07:14,1,,,,,,53,31
8680,00:07:14,1,,,,,,54,31
8700,00:07:15,1,,,,,,55,31
9240,00:07:42,,1,,,,,55,32
9580,00:07:59,,1,,,,,55,33
9740,00:08:07,1,,,,,,56,33
10160,00:08:28,,,,,1,,56,33
10180,00:08:29,,,,,1,,56,33
10220,00:08:31,,,,,1,,56,33
10300,00:08:35,1,,,,,,57,33
10480,00:08:44,,1,,,,,57,34
10480,00:08:44,,,,1,,,57,35
10560,00:08:48,,,,,,1,57,35
10580,00:08:49,1,,,,,,58,35
10660,00:08:53,,1,,,,,58,36
10980,00:09:09,1,,,,,,59,36
10980,00:09:09,,,1,,,,60,36
11020,00:09:11,1,,,,,,61,36
11120,00:09:16,1,,,,,,62,36
11120,00:09:16,,,1,,,,63,36
